Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VN30,1356.11,22/10/2024,13:23:57,1355.86,1356.11,1355.66,1356.11,907400
VN30,1355.84,22/10/2024,13:24:57,1355.99,1355.99,1355.54,1355.84,425800
VN30,1355.65,22/10/2024,13:25:57,1355.91,1355.91,1355.25,1355.65,534300
VN30,1356.20,22/10/2024,13:26:57,1355.39,1356.20,1355.39,1356.20,821100
VN30,1356.05,22/10/2024,13:27:57,1356.06,1356.40,1355.58,1356.05,566800
VN30,1355.78,22/10/2024,13:28:57,1355.68,1355.88,1355.34,1355.78,709100
VN30,1355.66,22/10/2024,13:29:57,1355.51,1356.06,1355.49,1355.66,644100
VN30,1355.55,22/10/2024,13:30:57,1355.43,1356.08,1355.43,1355.55,1283500
VN30,1355.93,22/10/2024,13:31:57,1355.98,1356.23,1355.65,1355.93,835600
VN30,1356.37,22/10/2024,13:32:57,1356,1356.54,1355.90,1356.37,1348100
VN30,1355.85,22/10/2024,13:33:57,1356.13,1356.49,1355.85,1355.85,762300
VN30,1356.09,22/10/2024,13:34:57,1356.20,1356.59,1356.08,1356.09,804900
VN30,1356.75,22/10/2024,13:35:57,1356.42,1356.75,1356.11,1356.75,582100
VN30,1356.29,22/10/2024,13:36:57,1356.76,1356.76,1356.10,1356.29,735900
VN30,1356.85,22/10/2024,13:37:57,1356.56,1356.99,1356.45,1356.85,651300
VN30,1356.88,22/10/2024,13:38:57,1357.01,1357.04,1356.69,1356.88,1500300
VN30,1357.29,22/10/2024,13:39:57,1356.43,1357.29,1356.43,1357.29,3504700
VN30,1356.97,22/10/2024,13:40:57,1357.13,1357.13,1355.87,1356.97,1420900
VN30,1357.48,22/10/2024,13:41:57,1356.97,1357.62,1356.78,1357.48,670300
VN30,1357.58,22/10/2024,13:42:57,1357.63,1358.04,1357.58,1357.58,1390500
VN30,1358.09,22/10/2024,13:43:57,1357.72,1358.40,1357.46,1358.09,666200
VN30,1358.21,22/10/2024,13:44:57,1358.61,1358.61,1357.85,1358.21,762600
VN30,1358.97,22/10/2024,13:45:57,1358.41,1358.97,1358.33,1358.97,719600
VN30,1358.24,22/10/2024,13:46:57,1358.81,1359.40,1358.12,1358.24,1081200
VN30,1358.86,22/10/2024,13:47:57,1358.45,1359.04,1358.27,1358.86,1168700
VN30,1358.44,22/10/2024,13:48:57,1358.43,1359.07,1358.43,1358.44,490700
VN30,1358.51,22/10/2024,13:49:57,1358.93,1358.96,1358.36,1358.51,1130100
VN30,1358.38,22/10/2024,13:50:57,1358.44,1358.64,1358.30,1358.38,1464000
VN30,1358.75,22/10/2024,13:51:57,1358.37,1358.99,1358.30,1358.75,796000
VN30,1358.31,22/10/2024,13:52:57,1358.51,1358.89,1358.30,1358.31,1066400
VN30,1357.95,22/10/2024,13:53:57,1358.61,1358.61,1357.95,1357.95,1216800
VN30,1358.02,22/10/2024,13:54:57,1357.98,1358.36,1357.81,1358.02,640100
VN30,1358.05,22/10/2024,13:55:57,1358.07,1358.62,1357.77,1358.05,809000
VN30,1358.52,22/10/2024,13:56:57,1358.49,1358.60,1357.99,1358.52,829600
VN30,1358.36,22/10/2024,13:57:58,1358.60,1358.78,1357.86,1358.36,832000
